epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.192,1.31616,1.78297,1.31902,0.45485,0.42568,0.38454,0.20627,1.48558,1.40016,1.50369,0.000475591,0.000475591,0.000475591
2,379.811,1.29326,1.14683,1.34314,0.45647,0.43687,0.39993,0.21328,1.46989,1.44628,1.46781,0.000920511,0.000920511,0.000920511
3,551.419,1.27625,1.09211,1.34329,0.53053,0.48943,0.45977,0.25813,1.3157,1.13489,1.37427,0.00133399,0.00133399,0.00133399
4,722.108,1.23912,1.03035,1.32765,0.64225,0.48933,0.53381,0.30173,1.28973,1.03841,1.36142,0.00128753,0.00128753,0.00128753
5,891.558,1.18395,0.96526,1.2841,0.63704,0.51047,0.57484,0.33817,1.19264,0.93884,1.28367,0.00124037,0.00124037,0.00124037
6,1061.6,1.14622,0.91116,1.25895,0.64959,0.62674,0.6372,0.36641,1.14402,0.89542,1.26034,0.00119322,0.00119322,0.00119322
7,1235.37,1.11716,0.87399,1.24535,0.68778,0.59172,0.644,0.38635,1.10953,0.84358,1.23274,0.00114606,0.00114606,0.00114606
8,1408.74,1.08885,0.84667,1.22344,0.77277,0.59992,0.69297,0.40907,1.08226,0.80416,1.21107,0.0010989,0.0010989,0.0010989
9,1581.39,1.06894,0.82318,1.21059,0.75856,0.63188,0.70574,0.43648,1.05368,0.78603,1.19344,0.00105174,0.00105174,0.00105174
10,1755.52,1.04585,0.79462,1.19371,0.76201,0.64134,0.71203,0.44196,1.02667,0.76346,1.17395,0.00100459,0.00100459,0.00100459
11,1929.79,1.02757,0.77333,1.18213,0.76247,0.64354,0.72663,0.45782,1.01585,0.73375,1.16984,0.00095743,0.00095743,0.00095743
12,2105.44,1.00756,0.75598,1.16991,0.77934,0.6595,0.74601,0.47576,0.98741,0.71374,1.15044,0.000910273,0.000910273,0.000910273
13,2280.11,0.98902,0.73318,1.15755,0.73354,0.69522,0.7409,0.47791,0.96884,0.70228,1.13436,0.000863116,0.000863116,0.000863116
14,2454.71,0.97215,0.71936,1.14452,0.79425,0.69847,0.76967,0.49134,0.95847,0.68312,1.12788,0.000815959,0.000815959,0.000815959
15,2629.54,0.9574,0.70472,1.13783,0.78905,0.70887,0.77567,0.50177,0.93964,0.66445,1.1188,0.000768802,0.000768802,0.000768802
16,2801.33,0.94022,0.68739,1.1255,0.79463,0.71272,0.78708,0.5142,0.91534,0.65144,1.10484,0.000721645,0.000721645,0.000721645
17,2974.82,0.93035,0.67736,1.11752,0.80345,0.71012,0.78648,0.52251,0.91004,0.64798,1.10051,0.000674488,0.000674488,0.000674488
18,3150.53,0.91387,0.65996,1.10618,0.82377,0.72506,0.80265,0.53608,0.89939,0.62726,1.09073,0.000627331,0.000627331,0.000627331
19,3325.76,0.89977,0.64465,1.09837,0.82781,0.71973,0.80784,0.54175,0.88555,0.62174,1.08035,0.000580174,0.000580174,0.000580174
20,3502.69,0.88528,0.62934,1.08928,0.80617,0.74018,0.81389,0.55434,0.87711,0.60112,1.07564,0.000533017,0.000533017,0.000533017
21,3708.22,0.87537,0.61772,1.08105,0.80675,0.74701,0.81883,0.56146,0.86732,0.59858,1.06864,0.00048586,0.00048586,0.00048586
22,3883.62,0.86351,0.60325,1.07571,0.83563,0.7455,0.82575,0.56779,0.85695,0.58678,1.06102,0.000438703,0.000438703,0.000438703
23,4061.53,0.84654,0.59372,1.06927,0.80062,0.75491,0.82453,0.57321,0.8491,0.57791,1.0583,0.000391546,0.000391546,0.000391546
24,4240.28,0.83598,0.58205,1.06107,0.80724,0.76415,0.82998,0.57859,0.8388,0.57187,1.05141,0.000344389,0.000344389,0.000344389
25,4417.11,0.82229,0.56851,1.05361,0.80799,0.76425,0.83058,0.58234,0.83119,0.56262,1.04724,0.000297232,0.000297232,0.000297232
26,4587.36,0.81298,0.55861,1.04793,0.81934,0.76714,0.83826,0.58377,0.82359,0.55469,1.03949,0.000250075,0.000250075,0.000250075
27,4757.05,0.79543,0.54737,1.03873,0.82205,0.76656,0.84092,0.59119,0.82096,0.54996,1.04075,0.000202918,0.000202918,0.000202918
28,4927.87,0.78601,0.53825,1.03176,0.8246,0.77556,0.84428,0.59406,0.81613,0.5451,1.03604,0.000155761,0.000155761,0.000155761
29,5096.8,0.77974,0.53383,1.03078,0.84548,0.7737,0.84808,0.59956,0.81193,0.53941,1.03277,0.000108604,0.000108604,0.000108604
30,5270.52,0.76424,0.51975,1.02245,0.84686,0.77377,0.84798,0.60153,0.80939,0.53763,1.03047,6.1447e-05,6.1447e-05,6.1447e-05
