epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,367.862,1.25867,1.85856,1.26934,0.53515,0.48684,0.49169,0.27998,1.26667,1.26768,1.29667,0.0099872,0.00332907,0.0099872,0.00332907,0.0099872,0.00332907,0.0099872,0.00332907
2,652.355,1.25311,1.2485,1.30021,0.48094,0.45909,0.45689,0.24499,1.38237,1.19069,1.40848,0.0193276,0.00644254,0.0193276,0.00644254,0.0193276,0.00644254,0.0193276,0.00644254
3,919.841,1.32841,1.19291,1.38128,0.40316,0.42857,0.40862,0.22605,1.33794,1.4946,1.40313,0.028008,0.00933601,0.028008,0.00933601,0.028008,0.00933601,0.028008,0.00933601
4,1186.9,1.31207,1.12251,1.39373,0.45529,0.50936,0.49103,0.28641,1.25843,1.02743,1.34465,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,1450.93,1.21784,1.00164,1.32648,0.63962,0.53755,0.56506,0.32772,1.12523,0.85503,1.26259,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,1716.95,1.15957,0.92847,1.28774,0.67568,0.5633,0.61272,0.35342,1.07888,0.79955,1.22883,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,1983.98,1.11807,0.87472,1.25502,0.60299,0.6796,0.64238,0.38479,1.05845,0.80142,1.21126,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,2250.74,1.08105,0.83184,1.22983,0.70423,0.63165,0.67065,0.38933,1.01762,0.73223,1.18227,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,2515.66,1.05044,0.80359,1.21105,0.72319,0.68707,0.72693,0.41936,0.98663,0.70658,1.15489,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,2782.1,1.02978,0.77724,1.19536,0.6915,0.68991,0.69266,0.43212,0.95792,0.68258,1.13578,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,3050.18,1.00325,0.75159,1.17262,0.73117,0.66808,0.72049,0.47757,0.92849,0.6476,1.10918,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,3318.4,0.98148,0.7261,1.15932,0.79039,0.70158,0.75252,0.49119,0.91224,0.63005,1.09712,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,3584.01,0.96096,0.70607,1.14674,0.79154,0.70071,0.78729,0.52194,0.88553,0.61074,1.08384,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,3851.77,0.94598,0.68839,1.13189,0.77267,0.68954,0.77278,0.51817,0.87175,0.60249,1.06895,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,4118.56,0.93018,0.67047,1.12323,0.7937,0.70349,0.79649,0.53439,0.85218,0.57762,1.05999,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,4384.51,0.91239,0.65154,1.11697,0.80216,0.74175,0.80974,0.54857,0.83609,0.56631,1.05316,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,4649.48,0.896,0.63938,1.10098,0.79059,0.71501,0.80133,0.55326,0.82968,0.5541,1.04594,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,4914.63,0.8834,0.6236,1.09227,0.80771,0.76719,0.82438,0.57231,0.80807,0.54637,1.02961,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,5180.27,0.86498,0.60859,1.08102,0.83087,0.74498,0.83207,0.5761,0.8014,0.53417,1.03139,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,5448.09,0.8519,0.59143,1.07335,0.82878,0.73653,0.82898,0.57435,0.79733,0.52999,1.02251,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
